Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,19575474863.7514,21060159748.9596,21036150317.7626,20114103580.5321,19449602244.5449,19032212583.775,19092091282.3498,19698775580.2624,19236860322.2919,15384996781.5891,14887595113.2198,15544811236.1544,..
Armenia,ARM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,11192556124.9892,11911914266.9672,12047457701.7916,11738591314.7376,11045672826.7053,11621380668.6106,12521390580.5486,13777592544.9172,12529414177.0274,13555497545.2684,16893970795.0099,20319702146.0371,23698458986.3812
Angola,AGO,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,119501912703.905,139348583608.719,147601990477.111,125303888194.457,85029884361.6455,72612745757.5845,70901568583.4435,79082926100.2829,67572545665.5389,68869476926.7654,83435815174.3546,99089500909.8148,107693478234.119
Bangladesh,BGD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,146832856920.569,158805147550.525,171232930861.854,191338510755.539,225591727898.942,266736774826.827,329854436730.53,366469040884.315,385238514893.684,435560113926.691,483370788278.341,493931963339.332,490163570995.754
Benin,BEN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,10942496021.0542,12214953760.7466,13069865716.3719,12492450828.6316,12171124091.5211,12308707529.4218,13827117872.9177,14878909136.2705,15552220813.0903,17152711387.9437,18679223213.9213,19618473437.3435,20619186502.0945
Belize,BLZ,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1783311548.19819,1906252035.22785,1977606840.6969,2062687753.1466,2058694975.6792,2048882838.82929,2134214158.90481,2257221873.62746,2022272216.42277,2418544998.5994,2702036317.45926,2815670607.91082,2980696113.21945
Bhutan,BTN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1879628310.74548,1911061759.072,1960592918.5641,2030629710.94194,2152170785.36801,2230803840.8818,2392690842.31536,2578551319.66653,2342260679.6698,2558909594.57066,2810795223.13082,2930793206.0704,..
Bolivia,BOL,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,23313311404.2448,27255102211.2719,30352501114.907,32208419842.9135,33490607690.1137,36911468703.1282,42953899482.7969,48726003453.4526,42787978417.8658,47582214720.8914,50617292052.3531,51790154398.1625,51683368520.4663
Bosnia and Herzegovina,BIH,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,17987296117.048,18664885822.0463,18455366180.9438,18083173093.897,17598824944.9714,17385647430.0316,19386161170.1655,20687455345.5593,20316927016.708,22605700938.7977,24693150146.7257,26372751852.8656,27803685799.3114
Burkina Faso,BFA,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,12119235602.2805,13218406478.005,13374188290.8385,12719827561.6676,12626356083.9431,12947522457.5114,14844368558.9627,15845913551.9048,16526198306.9685,18130346385.6755,18839306766.5742,19274568555.6897,20101882252.2335
Burundi,BDI,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2312100596.8131,2475377143.94473,2600272975.8986,2640571993.96815,2707205570.73846,2805608359.20533,2961754207.98769,3065400737.91688,3100434768.42161,3345196975.68153,3820898763.21267,3811792671.24663,3606211904.84638
Cabo Verde,CPV,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,1911675913.99773,1966246972.99165,1920929340.53439,1855146770.9132,1833718971.6041,1855294382.70066,2072912094.72578,2269954897.08452,1807700962.38846,2001844660.79085,2366105896.08334,2473451995.29279,2599385282.82681
Cambodia,KHM,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,16547767190.115,18602486323.3833,20539871819.9107,22272199502.1818,24513116372.8426,27176412687.0192,31194439801.5765,34630282983.4981,34220711746.3097,35980716051.5099,38995460841.2322,41674159335.035,44906915398.0672
Cameroon,CMR,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,30562025551.436,32724499328.2032,34565250099.4693,34926201157.9492,34412094661.6485,34106364833.522,37685520416.0938,39762247057.2052,40320016761.8029,43312468773.2373,45747510263.4727,47743483742.5556,49480614440.4162
Central African Republic,CAF,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,2512729545.84409,1670496470.57754,1742839368.43296,1802704234.84003,1869960216.76917,2006376458.11133,2299192875.99328,2450838201.33578,2451238915.14432,2613670959.9981,2665625203.85682,2707281933.31128,2744903740.08522
