Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Angola,AGO,"Population, total",SP.POP.TOTL,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Armenia,ARM,"Population, total",SP.POP.TOTL,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
Bangladesh,BGD,"Population, total",SP.POP.TOTL,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Belize,BLZ,"Population, total",SP.POP.TOTL,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
Benin,BEN,"Population, total",SP.POP.TOTL,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Bhutan,BTN,"Population, total",SP.POP.TOTL,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
Bolivia,BOL,"Population, total",SP.POP.TOTL,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Burundi,BDI,"Population, total",SP.POP.TOTL,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,511955,512225,512326,512394,512554,512893,513415,514104,514679,516649,519741,522331,524877
